RepeatId,GenerationId,popCount,aliveCount,totalCount,generations,treeDepth,nodeCount,leafCount,branching,subcloneTotal,subcloneSelect,clonalDiversity,treeBalance,meanDriversPerCell
297,0,1,59,446,1000,0,1,1,0,1,1,1,0,1
298,0,1,144,679,1000,0,1,1,0,1,1,1,0,1
299,0,1,49,436,1000,0,1,1,0,1,1,1,0,1
300,0,1,101,595,1000,0,1,1,0,1,1,1,0,1
301,0,1,134,663,1000,0,1,1,0,1,1,1,0,1
302,0,1,78,522,1000,0,1,1,0,1,1,1,0,1
303,0,1,146,648,1000,0,1,1,0,1,1,1,0,1
304,0,1,175,844,1000,0,1,1,0,1,1,1,0,1
305,0,1,145,747,1000,0,1,1,0,1,1,1,0,1
306,0,1,87,587,1000,0,1,1,0,1,1,1,0,1
307,0,1,67,527,1000,0,1,1,0,1,1,1,0,1
308,0,1,177,897,1000,0,1,1,0,1,1,1,0,1
309,0,1,76,518,1000,0,1,1,0,1,1,1,0,1
310,0,1,70,460,1000,0,1,1,0,1,1,1,0,1
311,0,1,76,617,1000,0,1,1,0,1,1,1,0,1
312,0,1,81,531,1000,0,1,1,0,1,1,1,0,1
313,0,1,82,558,1000,0,1,1,0,1,1,1,0,1
314,0,1,106,569,1000,0,1,1,0,1,1,1,0,1
315,0,1,67,416,1000,0,1,1,0,1,1,1,0,1
316,0,1,96,570,1000,0,1,1,0,1,1,1,0,1
317,0,1,136,688,1000,0,1,1,0,1,1,1,0,1
318,0,1,102,506,1000,0,1,1,0,1,1,1,0,1
319,0,1,107,591,1000,0,1,1,0,1,1,1,0,1
320,0,1,79,565,1000,0,1,1,0,1,1,1,0,1
321,0,1,85,571,1000,0,1,1,0,1,1,1,0,1
322,0,1,134,884,1000,0,1,1,0,1,1,1,0,1
323,0,1,83,560,1000,0,1,1,0,1,1,1,0,1
324,0,1,78,513,1000,0,1,1,0,1,1,1,0,1
325,0,1,99,577,1000,0,1,1,0,1,1,1,0,1
326,0,1,89,551,1000,0,1,1,0,1,1,1,0,1
327,0,1,116,733,1000,0,1,1,0,1,1,1,0,1
328,0,1,110,609,1000,0,1,1,0,1,1,1,0,1
329,0,1,68,649,1000,0,1,1,0,1,1,1,0,1
330,0,1,67,481,1000,0,1,1,0,1,1,1,0,1
331,0,1,112,718,1000,0,1,1,0,1,1,1,0,1
332,0,1,98,688,1000,0,1,1,0,1,1,1,0,1
333,0,1,102,684,1000,0,1,1,0,1,1,1,0,1
334,0,1,139,844,1000,0,1,1,0,1,1,1,0,1
335,0,1,96,649,1000,0,1,1,0,1,1,1,0,1
336,0,1,159,754,1000,0,1,1,0,1,1,1,0,1
337,0,1,130,718,1000,0,1,1,0,1,1,1,0,1
338,0,1,85,560,1000,0,1,1,0,1,1,1,0,1
339,0,1,135,618,1000,0,1,1,0,1,1,1,0,1
340,0,1,111,611,1000,0,1,1,0,1,1,1,0,1
341,0,1,116,701,1000,0,1,1,0,1,1,1,0,1
342,0,1,68,452,1000,0,1,1,0,1,1,1,0,1
343,0,1,77,404,1000,0,1,1,0,1,1,1,0,1
344,0,1,56,450,1000,0,1,1,0,1,1,1,0,1
345,0,1,86,568,1000,0,1,1,0,1,1,1,0,1
346,0,1,115,671,1000,0,1,1,0,1,1,1,0,1
347,0,1,94,645,1000,0,1,1,0,1,1,1,0,1
348,0,1,136,676,1000,0,1,1,0,1,1,1,0,1
349,0,1,93,555,1000,0,1,1,0,1,1,1,0,1
350,0,1,106,652,1000,0,1,1,0,1,1,1,0,1
351,0,1,64,549,1000,0,1,1,0,1,1,1,0,1
352,0,1,151,714,1000,0,1,1,0,1,1,1,0,1
353,0,1,126,571,1000,0,1,1,0,1,1,1,0,1
354,0,1,63,405,1000,0,1,1,0,1,1,1,0,1
355,0,1,66,485,1000,0,1,1,0,1,1,1,0,1
356,0,1,70,546,1000,0,1,1,0,1,1,1,0,1
357,0,1,130,777,1000,0,1,1,0,1,1,1,0,1
358,0,1,123,728,1000,0,1,1,0,1,1,1,0,1
359,0,1,155,830,1000,0,1,1,0,1,1,1,0,1
360,0,1,89,676,1000,0,1,1,0,1,1,1,0,1
361,0,1,74,483,1000,0,1,1,0,1,1,1,0,1
362,0,1,127,639,1000,0,1,1,0,1,1,1,0,1
363,0,1,75,574,1000,0,1,1,0,1,1,1,0,1
364,0,1,122,646,1000,0,1,1,0,1,1,1,0,1
365,0,1,143,681,1000,0,1,1,0,1,1,1,0,1
366,0,1,58,445,1000,0,1,1,0,1,1,1,0,1
367,0,1,69,513,1000,0,1,1,0,1,1,1,0,1
368,0,1,147,686,1000,0,1,1,0,1,1,1,0,1
369,0,1,130,634,1000,0,1,1,0,1,1,1,0,1
370,0,1,55,336,1000,0,1,1,0,1,1,1,0,1
371,0,1,91,578,1000,0,1,1,0,1,1,1,0,1
372,0,1,112,611,1000,0,1,1,0,1,1,1,0,1
373,0,1,105,690,1000,0,1,1,0,1,1,1,0,1
374,0,1,162,786,1000,0,1,1,0,1,1,1,0,1
375,0,1,86,500,1000,0,1,1,0,1,1,1,0,1
376,0,1,53,474,1000,0,1,1,0,1,1,1,0,1
377,0,1,117,667,1000,0,1,1,0,1,1,1,0,1
378,0,1,109,606,1000,0,1,1,0,1,1,1,0,1
379,0,1,90,511,1000,0,1,1,0,1,1,1,0,1
380,0,1,65,463,1000,0,1,1,0,1,1,1,0,1
381,0,1,114,693,1000,0,1,1,0,1,1,1,0,1
382,0,1,80,533,1000,0,1,1,0,1,1,1,0,1
383,0,1,116,587,1000,0,1,1,0,1,1,1,0,1
384,0,1,69,548,1000,0,1,1,0,1,1,1,0,1
385,0,1,76,452,1000,0,1,1,0,1,1,1,0,1
386,0,1,107,680,1000,0,1,1,0,1,1,1,0,1
387,0,1,140,746,1000,0,1,1,0,1,1,1,0,1
388,0,1,112,595,1000,0,1,1,0,1,1,1,0,1
389,0,1,114,644,1000,0,1,1,0,1,1,1,0,1
390,0,1,101,550,1000,0,1,1,0,1,1,1,0,1
391,0,1,94,649,1000,0,1,1,0,1,1,1,0,1
392,0,1,165,913,1000,0,1,1,0,1,1,1,0,1
393,0,1,114,653,1000,0,1,1,0,1,1,1,0,1
394,0,1,97,616,1000,0,1,1,0,1,1,1,0,1
395,0,1,150,696,1000,0,1,1,0,1,1,1,0,1
396,0,1,67,574,1000,0,1,1,0,1,1,1,0,1
397,0,1,74,466,1000,0,1,1,0,1,1,1,0,1
398,0,1,71,527,1000,0,1,1,0,1,1,1,0,1
399,0,1,77,516,1000,0,1,1,0,1,1,1,0,1
400,0,1,106,614,1000,0,1,1,0,1,1,1,0,1
401,0,1,61,511,1000,0,1,1,0,1,1,1,0,1
402,0,1,133,703,1000,0,1,1,0,1,1,1,0,1
403,0,1,139,672,1000,0,1,1,0,1,1,1,0,1
404,0,1,76,486,1000,0,1,1,0,1,1,1,0,1
405,0,1,70,461,1000,0,1,1,0,1,1,1,0,1
406,0,1,93,519,1000,0,1,1,0,1,1,1,0,1
407,0,1,77,447,1000,0,1,1,0,1,1,1,0,1
408,0,1,91,601,1000,0,1,1,0,1,1,1,0,1
409,0,1,122,608,1000,0,1,1,0,1,1,1,0,1
